Gene stable ID	Gene stable ID version	Gene name	Gene Synonym	Gene type	Chromosome/scaffold name
ENSGALG00000008435	ENSGALG00000008435.5	SUMO1	SMT3C	protein_coding	7
ENSGALG00000008435	ENSGALG00000008435.5	SUMO1	SMT3H3	protein_coding	7
ENSGALG00000008435	ENSGALG00000008435.5	SUMO1	UBL1	protein_coding	7
ENSGALG00000031859	ENSGALG00000031859.3	NKX3-2	BAPX1	protein_coding	4
ENSGALG00000031859	ENSGALG00000031859.3	NKX3-2	NKX-3.2	protein_coding	4
ENSGALG00000027234	ENSGALG00000027234.4	HOXA13	Hox A13	protein_coding	2
ENSGALG00000037015	ENSGALG00000037015.2	DACH1	DACH	protein_coding	1
ENSGALG00000003928	ENSGALG00000003928.6	LHX3	lim-3	protein_coding	17
ENSGALG00000003324	ENSGALG00000003324.7	PRRX1	gMHox	protein_coding	8
ENSGALG00000003324	ENSGALG00000003324.7	PRRX1	PMX1	protein_coding	8
ENSGALG00000003324	ENSGALG00000003324.7	PRRX1	Prx-1	protein_coding	8
ENSGALG00000003324	ENSGALG00000003324.7	PRRX1	Prx1	protein_coding	8
ENSGALG00000031872	ENSGALG00000031872.2	AGMAT	AUH	protein_coding	21
ENSGALG00000002478	ENSGALG00000002478.7	MATR3	matrin-3	protein_coding	13
ENSGALG00000001501	ENSGALG00000001501.5	MAPK3	MAPK1	protein_coding	15
ENSGALG00000006211	ENSGALG00000006211.6	BCL2L1	bcl-x	protein_coding	20
ENSGALG00000006211	ENSGALG00000006211.6	BCL2L1	Bcl-xl	protein_coding	20
ENSGALG00000006211	ENSGALG00000006211.6	BCL2L1	BCL2L	protein_coding	20
ENSGALG00000011849	ENSGALG00000011849.4	IL2	IL-2	protein_coding	4
ENSGALG00000011849	ENSGALG00000011849.4	IL2	interleukin-2	protein_coding	4
ENSGALG00000015935	ENSGALG00000015935.7	SMYD1	BOP	protein_coding	4
ENSGALG00000015917	ENSGALG00000015917.7	EEF1A1	EEF1A	protein_coding	3
ENSGALG00000015917	ENSGALG00000015917.7	EEF1A1	EF1A	protein_coding	3
ENSGALG00000041121	ENSGALG00000041121.2	SLIT2	Slit	protein_coding	4
ENSGALG00000009320	ENSGALG00000009320.6	PSEN1	presenilin-1	protein_coding	5
ENSGALG00000009320	ENSGALG00000009320.6	PSEN1	PS-1	protein_coding	5
ENSGALG00000014233	ENSGALG00000014233.4	FBLN1	fibulin-1	protein_coding	1
ENSGALG00000008072	ENSGALG00000008072.6	CHRDL1	NRLN1	protein_coding	4
ENSGALG00000030379	ENSGALG00000030379.3	LMBR1	ACHP	protein_coding	2
ENSGALG00000030379	ENSGALG00000030379.3	LMBR1	C7orf2	protein_coding	2
ENSGALG00000030379	ENSGALG00000030379.3	LMBR1	DIF14	protein_coding	2
ENSGALG00000030379	ENSGALG00000030379.3	LMBR1	LSS	protein_coding	2
ENSGALG00000030379	ENSGALG00000030379.3	LMBR1	PPD2	protein_coding	2
ENSGALG00000030379	ENSGALG00000030379.3	LMBR1	THYP	protein_coding	2
ENSGALG00000030379	ENSGALG00000030379.3	LMBR1	TPT	protein_coding	2
ENSGALG00000030379	ENSGALG00000030379.3	LMBR1	ZRS	protein_coding	2
ENSGALG00000009626	ENSGALG00000009626.7	THBS1	thrombospondin-1	protein_coding	5
ENSGALG00000006809	ENSGALG00000006809.6	POU2AF1	CHOBF-1	protein_coding	24
ENSGALG00000006809	ENSGALG00000006809.6	POU2AF1	OBF-1	protein_coding	24
ENSGALG00000043287	ENSGALG00000043287.2	CAV1	caveolin-1	protein_coding	1
ENSGALG00000008352	ENSGALG00000008352.6	CKMT1B	CKMT1	protein_coding	10
ENSGALG00000008352	ENSGALG00000008352.6	CKMT1B	CKMT1A	protein_coding	10
ENSGALG00000008352	ENSGALG00000008352.6	CKMT1B	mia-CK	protein_coding	10
ENSGALG00000008352	ENSGALG00000008352.6	CKMT1B	U-MtCK	protein_coding	10
ENSGALG00000016348	ENSGALG00000016348.5	SAT1	SAT	protein_coding	1
ENSGALG00000013782	ENSGALG00000013782.6	CDH7	cadherin-7	protein_coding	2
ENSGALG00000017186	ENSGALG00000017186.6	BIRC3	BIRC2	protein_coding	1
ENSGALG00000017186	ENSGALG00000017186.6	BIRC3	IAP1	protein_coding	1
ENSGALG00000017186	ENSGALG00000017186.6	BIRC3	ITA	protein_coding	1
ENSGALG00000040704	ENSGALG00000040704.2	SPIN1W	SPIN	protein_coding	W
ENSGALG00000040704	ENSGALG00000040704.2	SPIN1W	SPIN1	protein_coding	W
ENSGALG00000040704	ENSGALG00000040704.2	SPIN1W	SPINW	protein_coding	W
ENSGALG00000015937	ENSGALG00000015937.4	FABP1	L-FABP	protein_coding	4
ENSGALG00000015937	ENSGALG00000015937.4	FABP1	LFABP	protein_coding	4
ENSGALG00000035557	ENSGALG00000035557.3	BARX1	BARX1B	protein_coding	12
ENSGALG00000054923	ENSGALG00000054923.1	SOX3	CH3	pseudogene	4
ENSGALG00000004171	ENSGALG00000004171.6	RNF111	ARK	protein_coding	10
ENSGALG00000022557	ENSGALG00000022557.4	CLDN3	claudin-3	protein_coding	19
ENSGALG00000006367	ENSGALG00000006367.7	PCBD2	DCOHM	protein_coding	13
ENSGALG00000015556	ENSGALG00000015556.6	AFAP1	AFAP	protein_coding	4
ENSGALG00000030791	ENSGALG00000030791.2	DIAPH2	DIAPH1	protein_coding	4
ENSGALG00000011661	ENSGALG00000011661.5	SOD2	MNSOD	protein_coding	3
ENSGALG00000034855	ENSGALG00000034855.2	HK2	hexokinase-2	protein_coding	22
ENSGALG00000002157	ENSGALG00000002157.7	RPS17	RPS17L	protein_coding	10
ENSGALG00000034973	ENSGALG00000034973.2	FZD7	cFz-7	protein_coding	7
ENSGALG00000034973	ENSGALG00000034973.2	FZD7	Fz-7	protein_coding	7
ENSGALG00000030847	ENSGALG00000030847.3	FZD2	cFz-2	protein_coding	27
ENSGALG00000030847	ENSGALG00000030847.3	FZD2	fz-2	protein_coding	27
ENSGALG00000009064	ENSGALG00000009064.6	FZD1	cFz-1	protein_coding	2
ENSGALG00000009064	ENSGALG00000009064.6	FZD1	Fz-1	protein_coding	2
ENSGALG00000004980	ENSGALG00000004980.7	KCNMA1	cSlo	protein_coding	6
ENSGALG00000004980	ENSGALG00000004980.7	KCNMA1	KCa1.1	protein_coding	6
ENSGALG00000004980	ENSGALG00000004980.7	KCNMA1	slo	protein_coding	6
ENSGALG00000004980	ENSGALG00000004980.7	KCNMA1	slo1	protein_coding	6
ENSGALG00000002849	ENSGALG00000002849.6	DCXR	DER	protein_coding	18
ENSGALG00000002849	ENSGALG00000002849.6	DCXR	XR	protein_coding	18
ENSGALG00000032349	ENSGALG00000032349.2	CDH5	cadherin-5	protein_coding	11
ENSGALG00000039977	ENSGALG00000039977.3	MYH1B	MYH3	protein_coding	18
ENSGALG00000021079	ENSGALG00000021079.6	RGS19	GAIP	protein_coding	20
ENSGALG00000016691	ENSGALG00000016691.7	SLC25A6	SLC25A5	protein_coding	1
ENSGALG00000002853	ENSGALG00000002853.6	CFDP1	bcnt	protein_coding	11
ENSGALG00000008713	ENSGALG00000008713.7	BIRC5	survivin	protein_coding	3
ENSGALG00000015184	ENSGALG00000015184.6	TLE4	Grg4	protein_coding	Z
ENSGALG00000015184	ENSGALG00000015184.6	TLE4	TLE4Z1	protein_coding	Z
ENSGALG00000010857	ENSGALG00000010857.6	DAB1	disabled-1	protein_coding	8
ENSGALG00000003995	ENSGALG00000003995.7	ERAL1	GdERA	protein_coding	19
ENSGALG00000007527	ENSGALG00000007527.7	ADARB1	RED1	protein_coding	7
ENSGALG00000038225	ENSGALG00000038225.2	SEMA3E	semaphorin-3E	protein_coding	1
ENSGALG00000040444	ENSGALG00000040444.2	SEMA3C	semaphorin-3C	protein_coding	1
ENSGALG00000038290	ENSGALG00000038290.3	P4HB	PDI	protein_coding	18
ENSGALG00000008436	ENSGALG00000008436.6	CRY2	gCry2	protein_coding	5
ENSGALG00000033179	ENSGALG00000033179.3	TGFBR1	ChALK5	protein_coding	2
ENSGALG00000008932	ENSGALG00000008932.6	ENTPD8	ENTPD1	protein_coding	17
ENSGALG00000025898	ENSGALG00000025898.3	SMAD6	MADH6	protein_coding	10
ENSGALG00000041700	ENSGALG00000041700.3	GNAI3	Galphai3	protein_coding	26
ENSGALG00000043433	ENSGALG00000043433.2	SCX	SCXB	protein_coding	2
ENSGALG00000031424	ENSGALG00000031424.2	SDC2	syndecan-2	protein_coding	2
ENSGALG00000002579	ENSGALG00000002579.6	RIMBP2	RBP2	protein_coding	15
ENSGALG00000029621	ENSGALG00000029621.2	SEMA3F	semaphorin-3F	protein_coding	12
ENSGALG00000030886	ENSGALG00000030886.2	PTGDS	L-PGDS	protein_coding	17
ENSGALG00000030886	ENSGALG00000030886.2	PTGDS	LPGDS	protein_coding	17
ENSGALG00000030886	ENSGALG00000030886.2	PTGDS	PDS	protein_coding	17
ENSGALG00000030886	ENSGALG00000030886.2	PTGDS	PGD2	protein_coding	17
ENSGALG00000030886	ENSGALG00000030886.2	PTGDS	PGDS	protein_coding	17
ENSGALG00000030886	ENSGALG00000030886.2	PTGDS	PGDS2	protein_coding	17
ENSGALG00000034590	ENSGALG00000034590.2	CELF2	CUGBP2	protein_coding	1
ENSGALG00000005378	ENSGALG00000005378.7	ARNTL	BMAL1	protein_coding	5
ENSGALG00000005521	ENSGALG00000005521.6	PER2	gPer2	protein_coding	9
ENSGALG00000011551	ENSGALG00000011551.5	JCHAIN	IGJ	protein_coding	4
ENSGALG00000041470	ENSGALG00000041470.2	PPARA	PPAR	protein_coding	1
ENSGALG00000006428	ENSGALG00000006428.6	UBE2I	UBC9	protein_coding	14
ENSGALG00000006428	ENSGALG00000006428.6	UBE2I	UBCE9	protein_coding	14
ENSGALG00000003217	ENSGALG00000003217.4	LITAF	TNF-alpha	protein_coding	14
ENSGALG00000010035	ENSGALG00000010035.6	NR3C2	MR	protein_coding	4
ENSGALG00000008620	ENSGALG00000008620.5	RPL39L	RPL39	protein_coding	4
ENSGALG00000037402	ENSGALG00000037402.3	NOV	CCN2	protein_coding	3
ENSGALG00000037402	ENSGALG00000037402.3	NOV	CTGF	protein_coding	3
ENSGALG00000016785	ENSGALG00000016785.6	IL1RL1	ST2	protein_coding	1
ENSGALG00000034722	ENSGALG00000034722.3	TLR2A	chTLR2	protein_coding	4
ENSGALG00000034722	ENSGALG00000034722.3	TLR2A	TLR2	protein_coding	4
ENSGALG00000034722	ENSGALG00000034722.3	TLR2A	TLR2-1	protein_coding	4
ENSGALG00000008459	ENSGALG00000008459.5	BMPR2	BMPR-2	protein_coding	7
ENSGALG00000008459	ENSGALG00000008459.5	BMPR2	BMPR-II	protein_coding	7
ENSGALG00000008459	ENSGALG00000008459.5	BMPR2	BRK-3	protein_coding	7
ENSGALG00000004386	ENSGALG00000004386.6	SOX9	SOX-9	protein_coding	18
ENSGALG00000026192	ENSGALG00000026192.3	ST8SIA4	SIAT8D	protein_coding	Z
ENSGALG00000008621	ENSGALG00000008621.6	NRP2	neuropilin-2	protein_coding	7
ENSGALG00000037880	ENSGALG00000037880.3	ATP5A1Z	ATP5A1	protein_coding	Z
ENSGALG00000001529	ENSGALG00000001529.6	THYN1	THY28	protein_coding	24
ENSGALG00000033789	ENSGALG00000033789.3	HSP90B1	hsp108	protein_coding	1
ENSGALG00000030025	ENSGALG00000030025.2	FABP4	A-FABP	protein_coding	2
ENSGALG00000030025	ENSGALG00000030025.2	FABP4	AFABP	protein_coding	2
ENSGALG00000030025	ENSGALG00000030025.2	FABP4	FABP	protein_coding	2
ENSGALG00000008456	ENSGALG00000008456.7	CACNA1B	Cav2.2	protein_coding	17
ENSGALG00000001593	ENSGALG00000001593.7	UFD1L	UFD1	protein_coding	15
ENSGALG00000009073	ENSGALG00000009073.6	PSEN2	PS2	protein_coding	3
ENSGALG00000015849	ENSGALG00000015849.7	ME1	NADP-ME	protein_coding	3
ENSGALG00000014442	ENSGALG00000014442.7	GAPDH	KNC-NDS6	protein_coding	1
ENSGALG00000003642	ENSGALG00000003642.7	PDGFA	PDGF-A	protein_coding	14
ENSGALG00000015027	ENSGALG00000015027.6	JAK2	JAK-2	protein_coding	Z
ENSGALG00000030237	ENSGALG00000030237.2	PITX1	PTX1	protein_coding	13
ENSGALG00000000379	ENSGALG00000000379.6	ITGB3	integrin	protein_coding	27
ENSGALG00000006158	ENSGALG00000006158.6	ACVR2B	ACTR-IIB	protein_coding	2
ENSGALG00000006158	ENSGALG00000006158.6	ACVR2B	ActRIIB	protein_coding	2
ENSGALG00000015495	ENSGALG00000015495.6	POU1F1	GHF-1	protein_coding	1
ENSGALG00000015495	ENSGALG00000015495.6	POU1F1	PIT-1	protein_coding	1
ENSGALG00000015495	ENSGALG00000015495.6	POU1F1	Pit-1*	protein_coding	1
ENSGALG00000015495	ENSGALG00000015495.6	POU1F1	PIT1	protein_coding	1
ENSGALG00000015053	ENSGALG00000015053.7	GLDC	GDC	protein_coding	Z
ENSGALG00000011058	ENSGALG00000011058.6	LEPR	LPR	protein_coding	8
ENSGALG00000010689	ENSGALG00000010689.7	MAGOH	MAGOH2	protein_coding	8
ENSGALG00000010689	ENSGALG00000010689.7	MAGOH	MAGOHB	protein_coding	8
ENSGALG00000001512	ENSGALG00000001512.6	KCND3	KCND1	protein_coding	26
ENSGALG00000017034	ENSGALG00000017034.6	FOXO1	FOXO1A	protein_coding	1
ENSGALG00000027151	ENSGALG00000027151.4	FKBP1A	FKBP1C	protein_coding	20
ENSGALG00000004719	ENSGALG00000004719.6	SPTAN1	SPECA	protein_coding	17
ENSGALG00000007993	ENSGALG00000007993.7	DCX	18C15.5	protein_coding	4
ENSGALG00000037686	ENSGALG00000037686.2	NBN	NBS1	protein_coding	2
ENSGALG00000043164	ENSGALG00000043164.2	TNKS	tankyrase-1	protein_coding	4
ENSGALG00000014614	ENSGALG00000014614.6	TNKS2	tankyrase-2	protein_coding	6
ENSGALG00000006583	ENSGALG00000006583.7	LSP1P1	LSP1	protein_coding	5
ENSGALG00000053095	ENSGALG00000053095.1	PC	PCX	protein_coding	KZ626835.1
ENSGALG00000006025	ENSGALG00000006025.7	XIRP1	CMYA3	protein_coding	2
ENSGALG00000006025	ENSGALG00000006025.7	XIRP1	XIN	protein_coding	2
ENSGALG00000006025	ENSGALG00000006025.7	XIRP1	XIRP2	protein_coding	2
ENSGALG00000002507	ENSGALG00000002507.7	MBL2	cMBl	protein_coding	6
ENSGALG00000002507	ENSGALG00000002507.7	MBL2	collectin	protein_coding	6
ENSGALG00000002507	ENSGALG00000002507.7	MBL2	MBL	protein_coding	6
ENSGALG00000002507	ENSGALG00000002507.7	MBL2	MBP	protein_coding	6
ENSGALG00000007324	ENSGALG00000007324.7	TP63	deltaNp63	protein_coding	9
ENSGALG00000007324	ENSGALG00000007324.7	TP63	TAp63alpha	protein_coding	9
ENSGALG00000007324	ENSGALG00000007324.7	TP63	TP73L	protein_coding	9
ENSGALG00000007324	ENSGALG00000007324.7	TP63	TRP63	protein_coding	9
ENSGALG00000006388	ENSGALG00000006388.7	IL16	interleukin-16	protein_coding	10
ENSGALG00000010766	ENSGALG00000010766.5	ATXN3L	ATXN3	protein_coding	5
ENSGALG00000010766	ENSGALG00000010766.5	ATXN3L	MJD1	protein_coding	5
ENSGALG00000000249	ENSGALG00000000249.7	GH	cGH	protein_coding	27
ENSGALG00000000249	ENSGALG00000000249.7	GH	GH1	protein_coding	27
ENSGALG00000014687	ENSGALG00000014687.7	EPHA1	EPHA9	protein_coding	1
ENSGALG00000038634	ENSGALG00000038634.2	KIT	SCFR	protein_coding	4
ENSGALG00000004446	ENSGALG00000004446.4	NPFFR1	GPR147	protein_coding	6
ENSGALG00000004446	ENSGALG00000004446.4	NPFFR1	NPFF1	protein_coding	6
ENSGALG00000004446	ENSGALG00000004446.4	NPFFR1	RFRPR	protein_coding	6
ENSGALG00000011022	ENSGALG00000011022.5	NPVF	RFRP	protein_coding	2
ENSGALG00000032259	ENSGALG00000032259.2	SIX3	CSIX3	protein_coding	3
ENSGALG00000030626	ENSGALG00000030626.3	FZD6	FZ-6	protein_coding	2
ENSGALG00000016884	ENSGALG00000016884.5	SLC15A1	PEPT1	protein_coding	1
ENSGALG00000029261	ENSGALG00000029261.3	RTN4	NOGO	protein_coding	3
ENSGALG00000012006	ENSGALG00000012006.7	RTN1	reticulon-1	protein_coding	5
ENSGALG00000014831	ENSGALG00000014831.7	TRMT11	MDS024	protein_coding	3
ENSGALG00000008351	ENSGALG00000008351.5	CAV3	caveolin-3	protein_coding	12
ENSGALG00000005541	ENSGALG00000005541.5	GJB1	CX32	protein_coding	4
ENSGALG00000016636	ENSGALG00000016636.6	ARSH	ARSD	pseudogene	1
ENSGALG00000016636	ENSGALG00000016636.6	ARSH	ARSF	pseudogene	1
ENSGALG00000036836	ENSGALG00000036836.2	SOSTDC1	WISE	protein_coding	2
ENSGALG00000000853	ENSGALG00000000853.7	SLC2A8	GLUT8	protein_coding	17
ENSGALG00000043167	ENSGALG00000043167.3	TNFRSF11B	OPG	protein_coding	2
ENSGALG00000023648	ENSGALG00000023648.2	PPP3R1	HZGJ	protein_coding	3
ENSGALG00000009179	ENSGALG00000009179.6	TNFSF10	TRAIL	protein_coding	9
ENSGALG00000002536	ENSGALG00000002536.6	STX2	EPIM	protein_coding	15
ENSGALG00000002536	ENSGALG00000002536.6	STX2	syntaxin-2	protein_coding	15
ENSGALG00000037453	ENSGALG00000037453.2	TERF1	TRF1	protein_coding	2
ENSGALG00000028696	ENSGALG00000028696.3	FTL	FTD	protein_coding	5
ENSGALG00000035530	ENSGALG00000035530.3	TFCP2	TCFCP2	protein_coding	33
ENSGALG00000007082	ENSGALG00000007082.6	CREM	ICER	protein_coding	2
ENSGALG00000015713	ENSGALG00000015713.7	FAM53A	DNTNP	protein_coding	4
ENSGALG00000001559	ENSGALG00000001559.5	ZP3	Zp-3	protein_coding	10
ENSGALG00000001559	ENSGALG00000001559.5	ZP3	ZPC	protein_coding	10
ENSGALG00000003701	ENSGALG00000003701.7	SGMS1	MOB	protein_coding	6
ENSGALG00000003701	ENSGALG00000003701.7	SGMS1	TMEM23	protein_coding	6
ENSGALG00000039264	ENSGALG00000039264.2	SLA	src-like-adapter	protein_coding	2
ENSGALG00000013174	ENSGALG00000013174.7	RECQL	RecQ1	protein_coding	1
ENSGALG00000005678	ENSGALG00000005678.7	FLNB	filamin-B	protein_coding	12
ENSGALG00000028318	ENSGALG00000028318.3	CDKN1A	CIP1	protein_coding	26
ENSGALG00000039170	ENSGALG00000039170.2	LHFPL5	PMP22A	protein_coding	26
ENSGALG00000041112	ENSGALG00000041112.3	TRAM1L1	TRAM1	protein_coding	2
ENSGALG00000016457	ENSGALG00000016457.7	TRIB2	TRB2	protein_coding	3
ENSGALG00000012827	ENSGALG00000012827.7	RIPK1	RIP-1	protein_coding	2
ENSGALG00000036892	ENSGALG00000036892.3	BUB1B	BUBR1	protein_coding	5
ENSGALG00000006491	ENSGALG00000006491.6	ANKRD1	ALRP	protein_coding	6
ENSGALG00000006491	ENSGALG00000006491.6	ANKRD1	CARP	protein_coding	6
ENSGALG00000053788	ENSGALG00000053788.1	TNFSF8	CD30L	protein_coding	17
ENSGALG00000037082	ENSGALG00000037082.2	ASCL1	CASH1	protein_coding	1
ENSGALG00000004848	ENSGALG00000004848.7	YBX1	NSEP1	protein_coding	21
ENSGALG00000004848	ENSGALG00000004848.7	YBX1	YB1	protein_coding	21
ENSGALG00000037136	ENSGALG00000037136.2	RPS6KA1	RPS6KA	protein_coding	23
ENSGALG00000037136	ENSGALG00000037136.2	RPS6KA1	RPS6KA1L	protein_coding	23
ENSGALG00000037136	ENSGALG00000037136.2	RPS6KA1	RSK	protein_coding	23
ENSGALG00000007000	ENSGALG00000007000.7	NR2F2	COUP-TFII	protein_coding	10
ENSGALG00000009723	ENSGALG00000009723.6	FMN1	FMN	protein_coding	5
ENSGALG00000009723	ENSGALG00000009723.6	FMN1	LD	protein_coding	5
ENSGALG00000016431	ENSGALG00000016431.6	PAX5	Pax5B	protein_coding	Z
ENSGALG00000023760	ENSGALG00000023760.5	CHIA	CBPCH04	protein_coding	26
ENSGALG00000015193	ENSGALG00000015193.7	CCDC80	cequarin	protein_coding	1
ENSGALG00000015193	ENSGALG00000015193.7	CCDC80	equarin-S	protein_coding	1
ENSGALG00000016154	ENSGALG00000016154.3	ARC	ARG3.1	protein_coding	2
ENSGALG00000026137	ENSGALG00000026137.4	CDKN2B	CDKN2A	protein_coding	Z
ENSGALG00000031397	ENSGALG00000031397.3	NT5C3A	NT5C3	protein_coding	2
ENSGALG00000031397	ENSGALG00000031397.3	NT5C3A	PYN1	protein_coding	2
ENSGALG00000003003	ENSGALG00000003003.6	CCL20	MIP-3ALPHA	protein_coding	9
ENSGALG00000034213	ENSGALG00000034213.2	TNFRSF1B	TNFR-II	protein_coding	21
ENSGALG00000039741	ENSGALG00000039741.2	TNFRSF8	CD30	protein_coding	21
ENSGALG00000012732	ENSGALG00000012732.5	PHACTR1	DDSG1	protein_coding	2
ENSGALG00000035282	ENSGALG00000035282.2	IGF2	IGF-II	protein_coding	5
ENSGALG00000006997	ENSGALG00000006997.5	BRINP1	BRINP	protein_coding	17
ENSGALG00000006997	ENSGALG00000006997.5	BRINP1	DBC1	protein_coding	17
ENSGALG00000005657	ENSGALG00000005657.5	CRHR2	CRH-R2	protein_coding	2
ENSGALG00000003034	ENSGALG00000003034.2	SS2	Pro2-somatostatin	protein_coding	21
ENSGALG00000016678	ENSGALG00000016678.6	IL17A	ChIL-17	protein_coding	3
ENSGALG00000016678	ENSGALG00000016678.6	IL17A	IL-17	protein_coding	3
ENSGALG00000016678	ENSGALG00000016678.6	IL17A	IL-17F	protein_coding	3
ENSGALG00000016678	ENSGALG00000016678.6	IL17A	IL17	protein_coding	3
ENSGALG00000016678	ENSGALG00000016678.6	IL17A	interleukin-17A	protein_coding	3
ENSGALG00000010010	ENSGALG00000010010.6	RHOQ	CHTC10	protein_coding	3
ENSGALG00000000441	ENSGALG00000000441.5	KCNA10	cKv1.2	protein_coding	26
ENSGALG00000040279	ENSGALG00000040279.2	RHCE	RHD	protein_coding	23
ENSGALG00000000903	ENSGALG00000000903.7	TERF2IP	cRAP1	protein_coding	11
ENSGALG00000000903	ENSGALG00000000903.7	TERF2IP	RAP1	protein_coding	11
ENSGALG00000001551	ENSGALG00000001551.6	CCNL2	CCNL1	protein_coding	21
ENSGALG00000007307	ENSGALG00000007307.6	USP7	UBP	protein_coding	14
ENSGALG00000002055	ENSGALG00000002055.7	HES4	c-hairy1A	protein_coding	21
ENSGALG00000002055	ENSGALG00000002055.7	HES4	HAIRY1	protein_coding	21
ENSGALG00000002055	ENSGALG00000002055.7	HES4	HES1	protein_coding	21
ENSGALG00000029983	ENSGALG00000029983.2	ANGPT1	ANG-1	protein_coding	2
ENSGALG00000013971	ENSGALG00000013971.5	SGK1	SGK	protein_coding	3
ENSGALG00000014801	ENSGALG00000014801.6	NDC80	HEC1	protein_coding	2
ENSGALG00000014801	ENSGALG00000014801.6	NDC80	KNTC2	protein_coding	2
ENSGALG00000003438	ENSGALG00000003438.6	NUF2	CDCA1	protein_coding	8
ENSGALG00000015252	ENSGALG00000015252.7	ST3GAL6	ST3GAL-VI	protein_coding	1
ENSGALG00000002651	ENSGALG00000002651.6	ST3GAL2	ST3GAL-II	protein_coding	11
ENSGALG00000028423	ENSGALG00000028423.4	HS2ST1	CHS2ST	protein_coding	8
ENSGALG00000002155	ENSGALG00000002155.6	HS6ST1	CHS6ST-1	protein_coding	9
ENSGALG00000014948	ENSGALG00000014948.7	HMGCR	HMGR	protein_coding	Z
ENSGALG00000001093	ENSGALG00000001093.7	TCF3	G12	protein_coding	28
ENSGALG00000010560	ENSGALG00000010560.2	EIF2AK2	PKR	protein_coding	3
